year,Production,Imports,Exports,TotalConsumption,EndingStocks
2016,21223,84,3302,18030,356,
2017,21651,70,3422,18124,531,
2018,22026,74,3428,18663,540,
2019,22424,77,3513,18989,539,
2020,22403,76,3514,18969,535,
2021,22648,77,3560,19165,535,
2022,22837,78,3606,19309,535,
2023,23015,78,3651,19442,535,
2024,23241,79,3696,19624,535,
2025,23434,80,3719,19795,535,
2026,23588,81,3732,19937,535,
2027,23689,82,3744,20027,535,
2028,23788,83,3757,20114,535,
